race_id	date	race_type	around	course_len	weather	ground_state	race_class	place
202106010512	2021-01-16	1	0.0	1800	0.0	0	3	6
202106010601	2021-01-17	0	0.0	1200	1.0	0	1	6
202106010602	2021-01-17	0	0.0	1800	1.0	0	1	6
202106010603	2021-01-17	0	0.0	1800	1.0	0	1	6
202106010604	2021-01-17	0	0.0	1800	1.0	0	0	6
202106010605	2021-01-17	1	0.0	1600	1.0	0	1	6
202106010606	2021-01-17	0	0.0	1200	1.0	0	2	6
202106010607	2021-01-17	1	0.0	1600	1.0	0	2	6
202106010608	2021-01-17	0	0.0	1800	1.0	0	3	6
202106010609	2021-01-17	1	0.0	1200	1.0	0	4	6
202106010610	2021-01-17	0	0.0	1200	1.0	0	5	6
202106010611	2021-01-17	1	0.0	2000	1.0	0	6	6
202106010612	2021-01-17	1	0.0	1200	1.0	0	3	6
202106010701	2021-01-23	0	0.0	1200	3.0	0	1	6
202106010702	2021-01-23	0	0.0	1800	3.0	0	1	6
202106010703	2021-01-23	0	0.0	1200	3.0	0	1	6
202106010704	2021-01-23	0	0.0	1200	3.0	0	0	6
202106010705	2021-01-23	1	0.0	1600	3.0	1	1	6
202106010706	2021-01-23	0	0.0	1800	3.0	1	0	6
202106010707	2021-01-23	0	0.0	1200	3.0	1	2	6
202106010708	2021-01-23	0	0.0	1800	3.0	1	2	6
202106010709	2021-01-23	1	0.0	2000	3.0	1	3	6
202106010710	2021-01-23	0	0.0	1800	3.0	1	3	6
202106010711	2021-01-23	1	0.0	1800	3.0	2	4	6
202106010712	2021-01-23	1	0.0	2200	3.0	2	2	6
202106010801	2021-01-24	0	0.0	1200	3.0	3	1	6
202106010802	2021-01-24	0	0.0	1800	3.0	3	1	6
202106010803	2021-01-24	0	0.0	1800	3.0	3	1	6
202106010804	2021-01-24	0	0.0	1200	3.0	3	2	6
202106010805	2021-01-24	1	0.0	2200	1.0	3	1	6
202106010806	2021-01-24	1	0.0	2000	1.0	3	0	6
202106010807	2021-01-24	0	0.0	1800	1.0	3	2	6
202106010808	2021-01-24	0	0.0	1200	1.0	3	3	6
202106010809	2021-01-24	1	0.0	1800	1.0	3	2	6
202106010810	2021-01-24	0	0.0	1800	1.0	3	4	6
202106010811	2021-01-24	1	0.0	2200	1.0	3	7	6
202106010812	2021-01-24	1	0.0	1600	1.0	3	3	6
202106020101	2021-02-27	0	0.0	1200	0.0	0	1	6
202106020102	2021-02-27	0	0.0	1800	0.0	0	1	6
202106020103	2021-02-27	0	0.0	1200	0.0	0	1	6
202106020104	2021-02-27	0	0.0	1800	0.0	0	1	6
202106020105	2021-02-27	1	0.0	1800	0.0	0	1	6
202106020106	2021-02-27	1	0.0	2000	0.0	0	1	6
202106020107	2021-02-27	0	0.0	1800	0.0	0	2	6
202106020108	2021-02-27	0	0.0	1800	0.0	0	2	6
202106020109	2021-02-27	1	0.0	2200	0.0	0	2	6
202106020110	2021-02-27	1	0.0	1800	0.0	0	5	6
202106020111	2021-02-27	1	0.0	1600	0.0	0	4	6
202106020112	2021-02-27	0	0.0	1200	0.0	0	3	6
202106020201	2021-02-28	0	0.0	1800	0.0	0	1	6
202106020202	2021-02-28	0	0.0	1200	0.0	0	1	6
202106020203	2021-02-28	0	0.0	1800	0.0	0	1	6
202106020204	2021-02-28	0	0.0	1200	0.0	0	1	6
202106020205	2021-02-28	1	0.0	1600	0.0	0	1	6
202106020206	2021-02-28	1	0.0	1600	0.0	0	2	6
202106020207	2021-02-28	0	0.0	1800	0.0	0	2	6
202106020208	2021-02-28	0	0.0	1200	0.0	0	2	6
202106020209	2021-02-28	1	0.0	1800	0.0	0	2	6
202106020210	2021-02-28	0	0.0	1200	0.0	0	4	6
202106020211	2021-02-28	1	0.0	1800	0.0	0	7	6
202106020212	2021-02-28	0	0.0	1800	0.0	0	3	6
202106020301	2021-03-06	0	0.0	1800	1.0	1	1	6
202106020302	2021-03-06	0	0.0	1200	1.0	1	1	6
202106020303	2021-03-06	0	0.0	1800	1.0	1	1	6
202106020304	2021-03-06	0	0.0	1200	1.0	1	2	6
202106020305	2021-03-06	1	0.0	1600	1.0	1	1	6
202106020306	2021-03-06	1	0.0	1800	1.0	1	1	6
202106020307	2021-03-06	0	0.0	1200	1.0	1	2	6
202106020308	2021-03-06	1	0.0	1600	0.0	1	2	6
202106020309	2021-03-06	1	0.0	2500	0.0	1	5	6
202106020310	2021-03-06	0	0.0	1800	0.0	1	4	6
202106020311	2021-03-06	1	0.0	1200	0.0	1	6	6
202106020312	2021-03-06	0	0.0	1800	0.0	1	3	6
202106020401	2021-03-07	0	0.0	1200	1.0	1	1	6
202106020402	2021-03-07	0	0.0	1800	1.0	1	1	6
202106020403	2021-03-07	0	0.0	1200	1.0	1	1	6
202106020404	2021-03-07	0	0.0	1800	1.0	1	1	6
202106020405	2021-03-07	1	0.0	2200	1.0	0	1	6
202106020406	2021-03-07	1	0.0	1600	1.0	0	2	6
202106020407	2021-03-07	0	0.0	1800	1.0	1	2	6
202106020408	2021-03-07	1	0.0	1600	1.0	0	3	6
202106020409	2021-03-07	1	0.0	2200	1.0	0	4	6
202106020410	2021-03-07	0	0.0	1800	1.0	0	5	6
202106020411	2021-03-07	1	0.0	2000	1.0	0	7	6
202106020412	2021-03-07	0	0.0	1200	1.0	0	3	6
202106020501	2021-03-13	0	0.0	1800	3.0	3	1	6
202106020502	2021-03-13	0	0.0	1200	3.0	3	1	6
202106020503	2021-03-13	0	0.0	1800	3.0	3	1	6
202106020504	2021-03-13	0	0.0	1200	3.0	3	1	6
202106020505	2021-03-13	1	0.0	1800	3.0	3	1	6
202106020506	2021-03-13	0	0.0	1800	3.0	3	1	6
